epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-0.5986138582229614,0.41422486305236816,1.643432855606079,-0.5986138582229614,-0.040692947804927826,0.01090240478515625,12.233684539794922,-0.040692947804927826
1,-0.7353518605232239,0.49967265129089355,1.694061517715454,-0.7353518605232239,-0.034520503133535385,0.010881423950195312,15.39511489868164,-0.034520503133535385
2,-0.8245755434036255,0.5651260614395142,1.8160163164138794,-0.8245755434036255,-0.027441266924142838,0.010853290557861328,15.42323112487793,-0.027441266924142838
3,-0.8940596580505371,0.6163866519927979,1.9700874090194702,-0.8940596580505371,-0.01568564400076866,0.005954265594482422,14.464430809020996,-0.01568564400076866
4,-0.9264185428619385,0.6492513418197632,2.072702407836914,-0.9264185428619385,-0.0375114344060421,0.016052722930908203,13.60979175567627,-0.0375114344060421
5,-1.0062127113342285,0.6978486776351929,2.1088461875915527,-1.0062127113342285,-0.08524227887392044,0.05102968215942383,13.049311637878418,-0.08524227887392044
6,-1.1264894008636475,0.7371219396591187,2.135578155517578,-1.1264894008636475,-0.22458861768245697,0.16683006286621094,11.178459167480469,-0.22458861768245697
7,-1.1571732759475708,0.764689564704895,2.142674684524536,-1.1571732759475708,-0.20447801053524017,0.11776113510131836,13.036120414733887,-0.20447801053524017
8,-1.2598704099655151,0.7778851985931396,2.2599360942840576,-1.2598704099655151,-0.11578549444675446,0.02143716812133789,15.541154861450195,-0.11578549444675446
9,-1.292517900466919,0.8146828413009644,2.186399459838867,-1.292517900466919,-0.061550505459308624,0.02608013153076172,15.37880802154541,-0.061550505459308624
10,-1.3278800249099731,0.7970361709594727,2.441293716430664,-1.3278800249099731,-0.1348084658384323,0.056252479553222656,14.765057563781738,-0.1348084658384323
11,-1.2038382291793823,0.7912909984588623,2.632706880569458,-1.2038382291793823,-0.39064648747444153,0.20699787139892578,11.84431266784668,-0.39064648747444153
12,-1.3261194229125977,0.7995641231536865,2.5768256187438965,-1.3261194229125977,-0.3482632339000702,0.1192331314086914,13.78411865234375,-0.3482632339000702
13,-1.4513052701950073,0.8332314491271973,2.3209409713745117,-1.4513052701950073,-0.34066030383110046,0.10991573333740234,14.069912910461426,-0.34066030383110046
