epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-1.4334917068481445,0.7359908223152161,2.1613659858703613,-1.4334917068481445,-1.3873510360717773,0.8560703992843628,2.0088562965393066,-1.3873510360717773
1,-2.2188639640808105,0.9609110355377197,0.5007926821708679,-2.2188639640808105,-1.7572788000106812,0.9611729383468628,0.4505211412906647,-1.7572788000106812
2,-2.6050307750701904,0.9837121963500977,0.1787521243095398,-2.6050307750701904,-2.431643009185791,0.9767618775367737,0.28000953793525696,-2.431643009185791
3,-2.6761274337768555,0.985478937625885,0.16331082582473755,-2.6761274337768555,-2.544157028198242,0.97832852602005,0.2828870713710785,-2.544157028198242
4,-2.729144334793091,0.9871682524681091,0.14955565333366394,-2.729144334793091,-2.5818426609039307,0.9793893694877625,0.28494954109191895,-2.5818426609039307
5,-2.756078004837036,0.9881993532180786,0.1382349729537964,-2.756078004837036,-2.539891004562378,0.9787529110908508,0.26803070306777954,-2.539891004562378
6,-2.7863028049468994,0.9892429709434509,0.13005684316158295,-2.7863028049468994,-2.5854592323303223,0.9795613288879395,0.2554253041744232,-2.5854592323303223
7,-2.78580641746521,0.9895178079605103,0.12907645106315613,-2.78580641746521,-2.5915331840515137,0.9803524017333984,0.2624272406101227,-2.5915331840515137
8,-2.809593915939331,0.9903600811958313,0.1204499751329422,-2.809593915939331,-2.566253423690796,0.9795051217079163,0.2692076861858368,-2.566253423690796
9,-2.7571420669555664,0.9883588552474976,0.14783619344234467,-2.7571420669555664,-2.5654022693634033,0.9803481101989746,0.25152260065078735,-2.5654022693634033
10,-2.8070130348205566,0.9902530312538147,0.12470617145299911,-2.8070130348205566,-2.585639476776123,0.9808826446533203,0.2504429519176483,-2.585639476776123
11,-2.818648099899292,0.9906303286552429,0.1209113821387291,-2.818648099899292,-2.600684404373169,0.9806705713272095,0.2563803791999817,-2.600684404373169
12,-2.7960216999053955,0.990044355392456,0.12937670946121216,-2.7960216999053955,-2.5688769817352295,0.9783774018287659,0.298346608877182,-2.5688769817352295
13,-2.817908763885498,0.9907160997390747,0.12170476466417313,-2.817908763885498,-2.5970683097839355,0.9809135794639587,0.2570124864578247,-2.5970683097839355
14,-2.834139108657837,0.9914469122886658,0.11349668353796005,-2.834139108657837,-2.5542778968811035,0.9799787998199463,0.2628476619720459,-2.5542778968811035
