epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-1.42875075340271,0.7702133655548096,2.1504175662994385,-1.42875075340271,-1.3148276805877686,0.6273829340934753,5.560641765594482,-1.3148276805877686
1,-2.1420156955718994,0.9555220603942871,0.6337229609489441,-2.1420156955718994,-2.406769275665283,0.9711323380470276,0.3954969346523285,-2.406769275665283
2,-2.5979177951812744,0.9862533807754517,0.15598613023757935,-2.5979177951812744,-2.3896634578704834,0.9712689518928528,0.4254009425640106,-2.3896634578704834
3,-2.684326648712158,0.9879857301712036,0.13520894944667816,-2.684326648712158,-2.158259630203247,0.969159722328186,0.3355346620082855,-2.158259630203247
4,-2.699160575866699,0.9883617758750916,0.13179558515548706,-2.699160575866699,-2.316358804702759,0.9719375967979431,0.33700817823410034,-2.316358804702759
5,-2.7289745807647705,0.989521861076355,0.12270566076040268,-2.7289745807647705,-2.128309726715088,0.9676176905632019,0.34904012084007263,-2.128309726715088
6,-2.7483017444610596,0.9899781942367554,0.11929379403591156,-2.7483017444610596,-2.400357484817505,0.9732659459114075,0.36805278062820435,-2.400357484817505
7,-2.7741262912750244,0.990761399269104,0.11411811411380768,-2.7741262912750244,-2.3127686977386475,0.9729101657867432,0.31103000044822693,-2.3127686977386475
8,-2.772481918334961,0.9909747838973999,0.11299236118793488,-2.772481918334961,-2.2540788650512695,0.9720298647880554,0.35668066143989563,-2.2540788650512695
9,-2.781937599182129,0.9911385178565979,0.1124156042933464,-2.781937599182129,-2.119560956954956,0.9700113534927368,0.3532584309577942,-2.119560956954956
10,-2.8017218112945557,0.9919291138648987,0.10271595418453217,-2.8017218112945557,-2.241051435470581,0.9730140566825867,0.3302956223487854,-2.241051435470581
11,-2.8155739307403564,0.992263674736023,0.09967166185379028,-2.8155739307403564,-2.2754194736480713,0.9717571139335632,0.35112500190734863,-2.2754194736480713
12,-2.822249174118042,0.9925550818443298,0.09726815670728683,-2.822249174118042,-2.1386396884918213,0.9698821306228638,0.3851701021194458,-2.1386396884918213
13,-2.808070182800293,0.9921237826347351,0.1035967767238617,-2.808070182800293,-2.1684699058532715,0.9716779589653015,0.43269115686416626,-2.1684699058532715
14,-2.824650287628174,0.9928150177001953,0.09679147601127625,-2.824650287628174,-2.2775063514709473,0.9731500744819641,0.36453181505203247,-2.2775063514709473
