epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-0.5926576852798462,0.40551555156707764,1.6063445806503296,-0.5926576852798462,-0.3408232033252716,0.06825971603393555,1.9912611246109009,-0.3408232033252716
1,-0.71328204870224,0.5021014213562012,1.6001756191253662,-0.71328204870224,-0.1674019992351532,0.021640300750732422,3.7393550872802734,-0.1674019992351532
2,-0.814164400100708,0.5788110494613647,1.6434080600738525,-0.814164400100708,-0.04599680006504059,0.01259756088256836,10.51819133758545,-0.04599680006504059
3,-0.8812540173530579,0.6377609968185425,1.6845669746398926,-0.8812540173530579,-0.030851121991872787,0.012689590454101562,13.942824363708496,-0.030851121991872787
4,-0.9651623964309692,0.6933178901672363,1.7426323890686035,-0.9651623964309692,-0.028074046596884727,0.012158870697021484,13.508149147033691,-0.028074046596884727
5,-1.0162513256072998,0.7280378341674805,1.788949966430664,-1.0162513256072998,-0.257346510887146,0.2033252716064453,9.524064064025879,-0.257346510887146
6,-1.1631327867507935,0.7591983079910278,1.825622320175171,-1.1631327867507935,-0.3225827217102051,0.2729148864746094,9.666027069091797,-0.3225827217102051
7,-1.0928409099578857,0.7660832405090332,1.9714857339859009,-1.0928409099578857,-0.6128954887390137,0.5703811645507812,6.125987529754639,-0.6128954887390137
8,-1.2636240720748901,0.7764599323272705,2.0123493671417236,-1.2636240720748901,-0.45086386799812317,0.35433292388916016,9.85309886932373,-0.45086386799812317
9,-1.2842388153076172,0.7999821901321411,2.0762147903442383,-1.2842388153076172,-0.452471524477005,0.33222007751464844,10.160248756408691,-0.452471524477005
10,-1.2723592519760132,0.8051160573959351,2.162675380706787,-1.2723592519760132,-0.8692731261253357,0.714026927947998,3.683518886566162,-0.8692731261253357
11,-1.4516417980194092,0.8000489473342896,2.293142318725586,-1.4516417980194092,-0.9745355844497681,0.8052706718444824,2.541760206222534,-0.9745355844497681
12,-1.4238457679748535,0.8142575025558472,2.2957820892333984,-1.4238457679748535,-0.9388545155525208,0.7447562217712402,3.486140012741089,-0.9388545155525208
13,-1.4393291473388672,0.8052210807800293,2.4823989868164062,-1.4393291473388672,-0.8025232553482056,0.6074514389038086,5.636384963989258,-0.8025232553482056
14,-1.4105165004730225,0.8319960832595825,2.302424430847168,-1.4105165004730225,-0.7571032047271729,0.5472187995910645,6.747619152069092,-0.7571032047271729
