epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-1.3152031898498535,0.7077721953392029,2.200528860092163,-1.3152031898498535,-1.286581039428711,0.8468114733695984,1.8937886953353882,-1.286581039428711
1,-1.9680767059326172,0.9141387343406677,1.192086100578308,-1.9680767059326172,-2.1424431800842285,0.9743720889091492,0.28436800837516785,-2.1424431800842285
2,-2.4134788513183594,0.9749553203582764,0.2724589407444,-2.4134788513183594,-2.365288496017456,0.9748677015304565,0.37791526317596436,-2.365288496017456
3,-2.497718095779419,0.97808438539505,0.22808408737182617,-2.497718095779419,-2.5425498485565186,0.9804683327674866,0.22739876806735992,-2.5425498485565186
4,-2.5726985931396484,0.9800653457641602,0.21987605094909668,-2.5726985931396484,-2.5134596824645996,0.9775339961051941,0.2632216215133667,-2.5134596824645996
5,-2.5817668437957764,0.9801700115203857,0.2292851060628891,-2.5817668437957764,-2.5309810638427734,0.9791984558105469,0.2439175546169281,-2.5309810638427734
6,-2.60998797416687,0.9813228845596313,0.22248892486095428,-2.60998797416687,-2.612818956375122,0.9806933999061584,0.2346792370080948,-2.612818956375122
7,-2.586545705795288,0.9811084270477295,0.23007681965827942,-2.586545705795288,-2.214268922805786,0.9550096392631531,0.685369610786438,-2.214268922805786
8,-2.6259500980377197,0.9829823970794678,0.18985898792743683,-2.6259500980377197,-2.6522257328033447,0.9845939874649048,0.17985744774341583,-2.6522257328033447
9,-2.65712833404541,0.9847222566604614,0.18090374767780304,-2.65712833404541,-2.6373136043548584,0.9844122529029846,0.18919387459754944,-2.6373136043548584
10,-2.6748600006103516,0.9853808879852295,0.17636758089065552,-2.6748600006103516,-2.6317696571350098,0.9832867980003357,0.21270625293254852,-2.6317696571350098
11,-2.685758352279663,0.9856044054031372,0.17756162583827972,-2.685758352279663,-2.629615306854248,0.9827921390533447,0.22917214035987854,-2.629615306854248
12,-2.67449951171875,0.9853460192680359,0.18377161026000977,-2.67449951171875,-2.63447642326355,0.9837151169776917,0.21711774170398712,-2.63447642326355
13,-2.703967332839966,0.9863185286521912,0.17288453876972198,-2.703967332839966,-2.6440601348876953,0.9840849041938782,0.21130698919296265,-2.6440601348876953
14,-2.711792230606079,0.9869194626808167,0.16687893867492676,-2.711792230606079,-2.6301605701446533,0.9842109680175781,0.2134755551815033,-2.6301605701446533
