epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-1.310060739517212,0.7366119623184204,1.8951706886291504,-1.310060739517212,-0.95157790184021,0.5456440448760986,6.2814435958862305,-0.95157790184021
1,-2.1435940265655518,0.9593760371208191,0.5789134502410889,-2.1435940265655518,-2.3081514835357666,0.9748910069465637,0.2820088565349579,-2.3081514835357666
2,-2.603173017501831,0.9870805740356445,0.14522413909435272,-2.603173017501831,-2.5444443225860596,0.979907751083374,0.2676803171634674,-2.5444443225860596
3,-2.722522735595703,0.9896120429039001,0.11508643627166748,-2.722522735595703,-2.5986011028289795,0.9812145233154297,0.2254200130701065,-2.5986011028289795
4,-2.742886543273926,0.9903680086135864,0.10818250477313995,-2.742886543273926,-2.5906805992126465,0.9817184805870056,0.26968926191329956,-2.5906805992126465
5,-2.768665075302124,0.9911870360374451,0.0984010174870491,-2.768665075302124,-2.595606565475464,0.9813351631164551,0.22657674551010132,-2.595606565475464
6,-2.7937564849853516,0.9917384386062622,0.09390825778245926,-2.7937564849853516,-2.577317714691162,0.9805942177772522,0.22946356236934662,-2.577317714691162
7,-2.8091323375701904,0.992281973361969,0.08907794952392578,-2.8091323375701904,-2.6061203479766846,0.9819369316101074,0.21308109164237976,-2.6061203479766846
8,-2.8222947120666504,0.9928120374679565,0.08313920348882675,-2.8222947120666504,-2.616694927215576,0.9824779629707336,0.2143891304731369,-2.616694927215576
9,-2.8122363090515137,0.9926651120185852,0.08405035734176636,-2.8122363090515137,-2.5994527339935303,0.9802606701850891,0.2614345848560333,-2.5994527339935303
