epoch,Dice_Coef_Multilabel,categorical_accuracy,categorical_crossentropy,loss,val_Dice_Coef_Multilabel,val_categorical_accuracy,val_categorical_crossentropy,val_loss
0,-1.2942668199539185,0.7071647047996521,2.2982921600341797,-1.2936290502548218,-1.8136885166168213,0.918984055519104,0.9545548558235168,-1.8136885166168213
1,-1.9361302852630615,0.914441704750061,1.2446993589401245,-1.9361302852630615,-2.271043300628662,0.9693546295166016,0.39496439695358276,-2.271043300628662
2,-2.4628679752349854,0.9822742342948914,0.214553564786911,-2.4639618396759033,-2.5037941932678223,0.9769058227539062,0.32401859760284424,-2.5037941932678223
3,-2.584595203399658,0.985354483127594,0.17069432139396667,-2.584545373916626,-2.507178544998169,0.9765260219573975,0.35482966899871826,-2.507178544998169
4,-2.6305274963378906,0.9862871766090393,0.1596250683069229,-2.630526065826416,-2.5742950439453125,0.9806308150291443,0.2495274692773819,-2.5742950439453125
5,-2.684493064880371,0.9880473017692566,0.1446259319782257,-2.68453311920166,-2.6047656536102295,0.9816786646842957,0.22568279504776,-2.6047656536102295
6,-2.7137739658355713,0.9886799454689026,0.14128947257995605,-2.7136547565460205,-2.6273934841156006,0.9834524393081665,0.2031058371067047,-2.6273934841156006
7,-2.708355188369751,0.9887350797653198,0.14205344021320343,-2.7082955837249756,-2.638401746749878,0.9836074709892273,0.19755199551582336,-2.638401746749878
8,-2.7092738151550293,0.9884765148162842,0.14812377095222473,-2.7091169357299805,-2.6235334873199463,0.9830500483512878,0.2264234870672226,-2.6235334873199463
9,-2.7249433994293213,0.9893507957458496,0.13936777412891388,-2.7248315811157227,-2.6425888538360596,0.9825189113616943,0.2360265702009201,-2.6425888538360596
10,-2.7147068977355957,0.9885453581809998,0.14989136159420013,-2.714738607406616,-2.5764145851135254,0.9811034798622131,0.24378156661987305,-2.5764145851135254
11,-2.7402844429016113,0.9898635149002075,0.1347525417804718,-2.740278482437134,-2.6561532020568848,0.9836587309837341,0.21821050345897675,-2.6561532020568848
12,-2.7574567794799805,0.9903908371925354,0.12849678099155426,-2.7573657035827637,-2.632890224456787,0.9830167889595032,0.22588606178760529,-2.632890224456787
13,-2.7602899074554443,0.9905152320861816,0.12785756587982178,-2.7602646350860596,-2.6495275497436523,0.9837676286697388,0.2192961424589157,-2.6495275497436523
